Threshold,Accuracy,Precision,Recall,F1-Score,False Churn Alarms,Missed Churners,Correctly Identified Churners
0.2,0.8065,0.5165,0.769,0.618,293,94,313
0.25,0.8345,0.5757,0.7101,0.6359,213,118,289
0.3,0.8445,0.6111,0.6486,0.6293,168,143,264
0.35,0.8595,0.6703,0.6093,0.6384,122,159,248
0.4,0.8645,0.7099,0.5651,0.6293,94,177,230
0.45,0.868,0.7491,0.5283,0.6196,72,192,215
0.5,0.8685,0.788,0.484,0.5997,53,210,197
0.55,0.87,0.8387,0.4472,0.5833,35,225,182
0.6,0.8665,0.8723,0.4029,0.5513,24,243,164
0.65,0.863,0.8982,0.3686,0.5226,17,257,150
0.7,0.8555,0.9041,0.3243,0.4774,14,275,132
